Class_0;Class_1;Predicted_Class;True_Label
0.9999975140;0.0000024860;0;0
0.6943256440;0.3056743560;0;0
0.9999981844;0.0000018156;0;0
0.9999989591;0.0000010409;0;0
0.9994612258;0.0005387742;0;0
0.0000057553;0.9999942447;1;1
0.9936877232;0.0063122768;0;1
0.0000007189;0.9999992811;1;1
0.0000014132;0.9999985868;1;1
0.0000009359;0.9999990641;1;1
0.9999989267;0.0000010733;0;0
0.9998787275;0.0001212725;0;1
0.0000005583;0.9999994417;1;1
0.5072968791;0.4927031209;0;0
0.9999990443;0.0000009557;0;0
0.9999975369;0.0000024631;0;0
0.0000006507;0.9999993493;1;1
0.9999984861;0.0000015139;0;0
0.0000006032;0.9999993968;1;1
0.9996392996;0.0003607004;0;0
0.9999993837;0.0000006163;0;0
0.0000005607;0.9999994393;1;1
0.0000006560;0.9999993440;1;1
0.0000005491;0.9999994509;1;1
0.0004717730;0.9995282270;1;1
0.9999989582;0.0000010418;0;0
0.9999982010;0.0000017990;0;0
0.9999958777;0.0000041223;0;0
0.9999160508;0.0000839492;0;0
0.9999992170;0.0000007830;0;0
0.9999987272;0.0000012728;0;0
0.0000055917;0.9999944083;1;1
0.0000038708;0.9999961292;1;1
0.0000112197;0.9999887803;1;1
0.0000049909;0.9999950091;1;1
0.9999981826;0.0000018174;0;0
0.9999922233;0.0000077767;0;0
0.9999990861;0.0000009139;0;0
0.9988199885;0.0011800115;0;0
0.0000107465;0.9999892535;1;1
0.9999991603;0.0000008397;0;0
0.9998745337;0.0001254663;0;0
0.9998135216;0.0001864784;0;0
0.9997182667;0.0002817333;0;0
0.9999991115;0.0000008885;0;0
0.9646004748;0.0353995252;0;0
0.9999984363;0.0000015637;0;0
0.9999947888;0.0000052112;0;0
0.9999992777;0.0000007223;0;0
0.9999991851;0.0000008149;0;0
0.9999992969;0.0000007031;0;0
0.0000006274;0.9999993726;1;1
0.9999990879;0.0000009121;0;0
0.0000005758;0.9999994242;1;1
0.9999959787;0.0000040213;0;0
0.0000275935;0.9999724065;1;1
0.9999918314;0.0000081686;0;0
0.0000010535;0.9999989465;1;1
0.0000010401;0.9999989599;1;1
0.2439589665;0.7560410335;1;0
0.9999992650;0.0000007350;0;0
0.9999954431;0.0000045569;0;0
0.0000032262;0.9999967738;1;1
0.0000006503;0.9999993497;1;1
0.0206859890;0.9793140110;1;1
0.9998822873;0.0001177127;0;1
0.2079187496;0.7920812504;1;1
0.0000006191;0.9999993809;1;1
0.9999641211;0.0000358789;0;0
0.9999994306;0.0000005694;0;0
0.9999718298;0.0000281702;0;0
0.9999954558;0.0000045442;0;0
0.9999985087;0.0000014913;0;0
0.0000015247;0.9999984753;1;1
0.9999923935;0.0000076065;0;0
0.9999988832;0.0000011168;0;0
0.9896714389;0.0103285611;0;0
0.9999991506;0.0000008494;0;0
0.9999976517;0.0000023483;0;0
0.0000008098;0.9999991902;1;1
0.9999973990;0.0000026010;0;0
0.9999974412;0.0000025588;0;0
0.9279776384;0.0720223616;0;0
0.0000013757;0.9999986243;1;1
0.9999301117;0.0000698883;0;0
0.9999992979;0.0000007021;0;0
0.9999994627;0.0000005373;0;0
0.0000036500;0.9999963500;1;1
0.9970213163;0.0029786837;0;0
0.9999989718;0.0000010282;0;0
0.9999942128;0.0000057872;0;0
0.9999993475;0.0000006525;0;0
0.9999989087;0.0000010913;0;0
0.0031248291;0.9968751709;1;1
0.0000129471;0.9999870529;1;1
0.9999991728;0.0000008272;0;0
0.9999173148;0.0000826852;0;0
0.9999970004;0.0000029996;0;0
0.9999992988;0.0000007012;0;0
0.0000006951;0.9999993049;1;1
0.9999968754;0.0000031246;0;0
0.9999986449;0.0000013551;0;0
0.0000007342;0.9999992658;1;1
0.9999993060;0.0000006940;0;0
0.9999967371;0.0000032629;0;0
0.9995183671;0.0004816329;0;0
0.0000016577;0.9999983423;1;1
0.0000019054;0.9999980946;1;1
0.9920763967;0.0079236033;0;1
0.0000005600;0.9999994400;1;1
0.0000006156;0.9999993844;1;1
0.9999991713;0.0000008287;0;0
0.9999976183;0.0000023817;0;0
0.9999983546;0.0000016454;0;0
