Class_0;Class_1;Predicted_Class;True_Label
0.0013358757;0.9986641243;1;1
0.9761067215;0.0238932785;0;0
0.9983187796;0.0016812204;0;0
0.2873133600;0.7126866400;1;1
0.0006110131;0.9993889869;1;1
0.9767571129;0.0232428871;0;0
0.4790123335;0.5209876665;1;0
0.9962275452;0.0037724548;0;0
0.7156385815;0.2843614185;0;1
0.0020734319;0.9979265681;1;1
0.8797504132;0.1202495868;0;0
0.9602013337;0.0397986663;0;0
0.1124084179;0.8875915821;1;1
0.9940033956;0.0059966044;0;0
0.9981931778;0.0018068222;0;0
0.9514152483;0.0485847517;0;0
0.9975468108;0.0024531892;0;0
0.9807259713;0.0192740287;0;0
0.0089920921;0.9910079079;1;1
0.9982357187;0.0017642813;0;0
0.0010948295;0.9989051705;1;1
0.9953349444;0.0046650556;0;0
0.0051314269;0.9948685731;1;1
0.9705093014;0.0294906986;0;0
0.2937368342;0.7062631658;1;1
0.4940282337;0.5059717663;1;1
0.9909352005;0.0090647995;0;0
0.9867980264;0.0132019736;0;0
0.0018286642;0.9981713358;1;1
0.9977725778;0.0022274222;0;0
0.9931841991;0.0068158009;0;0
0.9610576544;0.0389423456;0;0
0.9915865731;0.0084134269;0;0
0.0421583979;0.9578416021;1;1
0.9811552218;0.0188447782;0;0
0.9679080584;0.0320919416;0;0
0.0123922516;0.9876077484;1;1
0.9985715691;0.0014284309;0;0
0.0008439585;0.9991560415;1;1
0.0020348528;0.9979651472;1;1
0.8500431898;0.1499568102;0;0
0.9979138795;0.0020861205;0;0
0.0026411452;0.9973588548;1;1
0.9322377869;0.0677622131;0;0
0.9912030987;0.0087969013;0;0
0.0042742811;0.9957257189;1;1
0.9983109555;0.0016890445;0;0
0.9936676495;0.0063323505;0;0
0.9963132546;0.0036867454;0;0
0.9671522960;0.0328477040;0;0
0.9970870772;0.0029129228;0;0
0.0026459191;0.9973540809;1;1
0.0441450802;0.9558549198;1;1
0.9947444281;0.0052555719;0;0
0.9981559330;0.0018440670;0;0
0.0289199352;0.9710800648;1;1
0.9977291625;0.0022708375;0;0
0.2821254797;0.7178745203;1;1
0.9915939365;0.0084060635;0;0
0.9983911245;0.0016088755;0;0
0.9961216967;0.0038783033;0;0
0.0300022060;0.9699977940;1;1
0.9700087886;0.0299912114;0;0
0.9899260103;0.0100739897;0;0
0.3560725415;0.6439274585;1;0
0.9978503754;0.0021496246;0;0
0.9118069153;0.0881930847;0;0
0.0005100340;0.9994899660;1;1
0.0257021626;0.9742978374;1;1
0.0021790001;0.9978209999;1;1
0.8723391662;0.1276608338;0;0
0.0013185636;0.9986814364;1;1
0.9786887740;0.0213112260;0;0
0.9935772092;0.0064227908;0;0
0.9984521104;0.0015478896;0;0
0.0963207327;0.9036792673;1;1
0.9927218334;0.0072781666;0;0
0.0017671673;0.9982328327;1;1
0.0054731234;0.9945268766;1;1
0.9657359930;0.0342640070;0;0
0.8828740842;0.1171259158;0;0
0.9557937395;0.0442062605;0;0
0.9966591294;0.0033408706;0;0
0.9979719555;0.0020280445;0;0
0.9962143636;0.0037856364;0;0
0.0033873938;0.9966126062;1;1
0.0067884079;0.9932115921;1;1
0.9967530369;0.0032469631;0;0
0.9911438739;0.0088561261;0;0
0.9964520696;0.0035479304;0;0
0.0034508650;0.9965491350;1;1
0.9708071816;0.0291928184;0;0
0.0072567529;0.9927432471;1;1
0.9743698079;0.0256301921;0;0
0.9985005393;0.0014994607;0;0
0.9896454614;0.0103545386;0;0
0.9991042006;0.0008957994;0;0
0.0069665698;0.9930334302;1;1
0.0033602158;0.9966397842;1;1
0.1100425322;0.8899574678;1;1
0.0019546309;0.9980453691;1;1
0.9978152969;0.0021847031;0;0
0.0047956076;0.9952043924;1;1
0.9978421978;0.0021578022;0;0
0.9980055773;0.0019944227;0;0
0.9978996257;0.0021003743;0;0
0.9924977891;0.0075022109;0;0
0.0039852467;0.9960147533;1;1
0.9955096021;0.0044903979;0;0
0.9880511866;0.0119488134;0;0
0.9314154072;0.0685845928;0;0
0.9989559828;0.0010440172;0;0
0.0008449270;0.9991550730;1;1
0.0016576768;0.9983423232;1;1
